module,kind,name,fields,field_count,path
analytics,response,AnalyticsInsightResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'insightType'}, {'type': 'String', 'name': 'subjectAreaId'}, {'type': 'String', 'name': 'scopeType'}, {'type': 'String', 'name': 'scopeId'}, {'type': 'String', 'name': 'title'}, {'type': 'String', 'name': 'severityId'}, {'type': 'BigDecimal', 'name': 'confidenceScore'}, {'type': 'AnalyticsInsightStatus', 'name': 'status'}]",9,src/main/java/dz/sh/hidra/modules/analytics/api/rest/response/AnalyticsInsightResponse.java
analytics,response,AnalyticsProjectionRunResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'projectionDefinitionId'}, {'type': 'AnalyticsRunStatus', 'name': 'runStatus'}, {'type': 'AnalyticsRunMode', 'name': 'runMode'}, {'type': 'Instant', 'name': 'periodStart'}, {'type': 'Instant', 'name': 'periodEnd'}, {'type': 'String', 'name': 'correlationId'}]",7,src/main/java/dz/sh/hidra/modules/analytics/api/rest/response/AnalyticsProjectionRunResponse.java
analytics,response,MetricEvaluationRunResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'metricDefinitionVersionId'}, {'type': 'AnalyticsRunStatus', 'name': 'runStatus'}, {'type': 'Instant', 'name': 'periodStart'}, {'type': 'Instant', 'name': 'periodEnd'}, {'type': 'String', 'name': 'scopeType'}, {'type': 'String', 'name': 'scopeId'}, {'type': 'String', 'name': 'correlationId'}]",8,src/main/java/dz/sh/hidra/modules/analytics/api/rest/response/MetricEvaluationRunResponse.java
analytics,response,package-info,[],0,src/main/java/dz/sh/hidra/modules/analytics/api/rest/response/package-info.java
assets,request,CreateMaintenanceWorkOrderRequest,"[{'type': 'String', 'name': 'workOrderNumber'}, {'type': 'String', 'name': 'maintainableAssetId'}, {'type': 'String', 'name': 'maintenancePlanId'}, {'type': 'String', 'name': 'sourceRecommendationId'}, {'type': 'String', 'name': 'workOrderTypeId'}, {'type': 'String', 'name': 'priorityId'}, {'type': 'String', 'name': 'title'}, {'type': 'String', 'name': 'description'}, {'type': 'String', 'name': 'assignedOrganizationUnitId'}, {'type': 'String', 'name': 'assignedActorId'}, {'type': 'Instant', 'name': 'plannedStartAt'}, {'type': 'Instant', 'name': 'plannedEndAt'}, {'type': 'String', 'name': 'workflowInstanceId'}, {'type': 'String', 'name': 'createdByActorId'}]",14,src/main/java/dz/sh/hidra/modules/assets/api/rest/request/CreateMaintenanceWorkOrderRequest.java
assets,request,RecordAssetConditionRequest,"[{'type': 'String', 'name': 'maintainableAssetId'}, {'type': 'AssetConditionStatus', 'name': 'conditionStatus'}, {'type': 'String', 'name': 'conditionTypeId'}, {'type': 'String', 'name': 'sourceModule'}, {'type': 'String', 'name': 'sourceReferenceId'}, {'type': 'String', 'name': 'summary'}, {'type': 'BigDecimal', 'name': 'conditionScore'}, {'type': 'Instant', 'name': 'observedAt'}, {'type': 'String', 'name': 'observedByActorId'}]",9,src/main/java/dz/sh/hidra/modules/assets/api/rest/request/RecordAssetConditionRequest.java
assets,request,RegisterMaintainableAssetRequest,"[{'type': 'String', 'name': 'assetNumber'}, {'type': 'String', 'name': 'assetCode'}, {'type': 'String', 'name': 'assetName'}, {'type': 'String', 'name': 'assetTypeId'}, {'type': 'String', 'name': 'topologyAssetTypeCode'}, {'type': 'String', 'name': 'topologyAssetId'}, {'type': 'String', 'name': 'topologyAssetCodeSnapshot'}, {'type': 'String', 'name': 'topologyAssetNameSnapshot'}, {'type': 'String', 'name': 'criticalityId'}, {'type': 'String', 'name': 'ownerOrganizationUnitId'}, {'type': 'String', 'name': 'ownerOrganizationUnitNameSnapshot'}, {'type': 'String', 'name': 'manufacturerPartyId'}, {'type': 'String', 'name': 'manufacturerNameSnapshot'}, {'type': 'String', 'name': 'modelId'}, {'type': 'String', 'name': 'serialIdentityId'}, {'type': 'Instant', 'name': 'installedAt'}, {'type': 'Instant', 'name': 'commissionedAt'}, {'type': 'String', 'name': 'createdByActorId'}]",18,src/main/java/dz/sh/hidra/modules/assets/api/rest/request/RegisterMaintainableAssetRequest.java
assets,request,package-info,[],0,src/main/java/dz/sh/hidra/modules/assets/api/rest/request/package-info.java
assets,response,AssetConditionResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'maintainableAssetId'}, {'type': 'AssetConditionStatus', 'name': 'conditionStatus'}, {'type': 'BigDecimal', 'name': 'conditionScore'}, {'type': 'Instant', 'name': 'observedAt'}]",5,src/main/java/dz/sh/hidra/modules/assets/api/rest/response/AssetConditionResponse.java
assets,response,MaintainableAssetResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'assetNumber'}, {'type': 'String', 'name': 'assetCode'}, {'type': 'String', 'name': 'assetName'}, {'type': 'String', 'name': 'assetTypeId'}, {'type': 'String', 'name': 'topologyAssetTypeCode'}, {'type': 'String', 'name': 'topologyAssetId'}, {'type': 'AssetLifecycleStatus', 'name': 'status'}, {'type': 'String', 'name': 'criticalityId'}, {'type': 'Instant', 'name': 'registeredAt'}]",10,src/main/java/dz/sh/hidra/modules/assets/api/rest/response/MaintainableAssetResponse.java
assets,response,MaintenanceWorkOrderResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'workOrderNumber'}, {'type': 'String', 'name': 'maintainableAssetId'}, {'type': 'String', 'name': 'sourceRecommendationId'}, {'type': 'String', 'name': 'workOrderTypeId'}, {'type': 'MaintenanceWorkOrderStatus', 'name': 'status'}, {'type': 'String', 'name': 'title'}, {'type': 'Instant', 'name': 'plannedStartAt'}, {'type': 'Instant', 'name': 'completedAt'}]",9,src/main/java/dz/sh/hidra/modules/assets/api/rest/response/MaintenanceWorkOrderResponse.java
assets,response,package-info,[],0,src/main/java/dz/sh/hidra/modules/assets/api/rest/response/package-info.java
audit,request,RecordAuditAccessRequest,"[{'type': 'String', 'name': 'actorId'}, {'type': 'String', 'name': 'actorDisplayNameSnapshot'}, {'type': 'AuditAccessType', 'name': 'accessType'}, {'type': 'String', 'name': 'auditEventId'}, {'type': 'String', 'name': 'searchFilterHash'}, {'type': 'String', 'name': 'exportRequestId'}, {'type': 'Integer', 'name': 'resultCount'}, {'type': 'String', 'name': 'purposeText'}, {'type': 'String', 'name': 'correlationId'}]",9,src/main/java/dz/sh/hidra/modules/audit/api/rest/request/RecordAuditAccessRequest.java
audit,request,RecordAuditEventRequest,"[{'type': 'String', 'name': 'eventTypeId'}, {'type': 'String', 'name': 'eventCategoryId'}, {'type': 'String', 'name': 'severityId'}, {'type': 'String', 'name': 'sourceModule'}, {'type': 'String', 'name': 'sourceComponent'}, {'type': 'String', 'name': 'sourceEventId'}, {'type': 'String', 'name': 'actionCode'}, {'type': 'String', 'name': 'actionLabelSnapshot'}, {'type': 'String', 'name': 'actorId'}, {'type': 'AuditActorType', 'name': 'actorType'}, {'type': 'String', 'name': 'actorDisplayNameSnapshot'}, {'type': 'String', 'name': 'actorUsernameSnapshot'}, {'type': 'String', 'name': 'targetModule'}, {'type': 'String', 'name': 'targetType'}, {'type': 'String', 'name': 'targetId'}, {'type': 'String', 'name': 'targetCodeSnapshot'}, {'type': 'String', 'name': 'targetLabelSnapshot'}, {'type': 'AuditOperation', 'name': 'operation'}, {'type': 'String', 'name': 'decisionCode'}, {'type': 'String', 'name': 'reasonId'}, {'type': 'String', 'name': 'reasonText'}, {'type': 'String', 'name': 'workflowInstanceId'}, {'type': 'String', 'name': 'workflowTaskId'}, {'type': 'String', 'name': 'workflowActionId'}, {'type': 'String', 'name': 'requestId'}, {'type': 'String', 'name': 'correlationId'}, {'type': 'String', 'name': 'causationId'}, {'type': 'Instant', 'name': 'occurredAt'}, {'type': 'String', 'name': 'payloadJson'}]",29,src/main/java/dz/sh/hidra/modules/audit/api/rest/request/RecordAuditEventRequest.java
audit,request,RequestAuditExportRequest,"[{'type': 'String', 'name': 'requestedByActorId'}, {'type': 'String', 'name': 'requestedByDisplayNameSnapshot'}, {'type': 'String', 'name': 'purposeId'}, {'type': 'String', 'name': 'filterJson'}, {'type': 'String', 'name': 'format'}, {'type': 'String', 'name': 'workflowInstanceId'}]",6,src/main/java/dz/sh/hidra/modules/audit/api/rest/request/RequestAuditExportRequest.java
audit,request,package-info,[],0,src/main/java/dz/sh/hidra/modules/audit/api/rest/request/package-info.java
